TIMESTAMP;SPEED;ALTITUDE;TRIP;TEMPERATURE;FUEL;PERSONS
;11;;;;;
;15;;;;;
;15;;;;;
;11;;;;;
;0;33;;;;
;16;;;;;
;28;;;;;
;28;;;;;
;32;;;;;
;38;;;;;
;35;;;;;
;33;;;;;
;31;;;;;
;24;;;;;
;15;;;;;
;5;27;;;;
;0;;;;;
;9;;;;;
;26;;;;;
;31;;;;;
;9;;;;;
;0;;;;;
;30;;;;;
;35;;;;;
;29;;;;;
;12;;;;;
;0;;;;;
;7;;;;;
;19;28;;;;
;30;;;;;
;44;;;;;
;48;;;;;
;38;;;;;
;68;;;;;
;77;;;;;
;85;30;;;;
;83;;;;;
;84;;;;;
;86;;;;;
;91;;;;;
;94;;;;;
;97;;;;;
;85;;;;;
;79;48;;;;
;88;;;;;
;85;;;;;
;80;;;;;
;73;;;;;
;67;;;;;
;48;;;;;
;36;69;;;;
;42;;;;;
;27;;;;;
;40;;;;;
;26;;;;;
;29;;;;;
;24;;;;;
;32;;;;;
;25;93;;;;
;23;;;;;
;15;;;;;
;23;;;;;
;14;;;;;
25/04/2024 9:50;0;87;;;;
25/04/2024 11:01;0;87;RETURN;21;V2;1
;6;;;;;
;17;;;;;
;29;;;;;
;29;;;;;
;27;;;;;
;25;85;;;;
;23;;;;;
;26;;;;;
;23;;;;;
;25;;;;;
;11;;;;;
;23;;;;;
;34;71;;;;
;46;;;;;
;50;;;;;
;65;;;;;
;72;;;;;
;75;;;;;
;80;;;;;
;79;59;;;;
;83;;;;;
;83;;;;;
;83;;;;;
;81;;;;;
;87;;;;;
;79;;;;;
;79;;;;;
;79;41;;;;
;80;;;;;
;80;;;;;
;80;;;;;
;81;;;;;
;77;;;;;
;83;;;;;
;76;33;;;;
;69;;;;;
;60;;;;;
;46;;;;;
;38;;;;;
;29;;;;;
;20;;;;;
;5;;;;;
;25;;;;;
;32;30;;;;
;38;;;;;
;45;;;;;
;49;;;;;
;44;;;;;
;42;;;;;
;14;;;;;
;0;;;;;
;5;;;;;
;19;29;;;;
;27;;;;;
;34;;;;;
;37;;;;;
;29;;;;;
;35;;;;;
;36;;;;;
;33;;;;;
;34;29;;;;
;31;;;;;
;20;;;;;
;12;;;;;
;0;;;;;
;2;;;;;
;14;;;;;
;24;;;;;
;9;;;;;
;0;27;;;;
;4;;;;;
;11;;;;;
;18;;;;;
;29;;;;;
;30;;;;;
;25;;;;;
;20;;;;;
;13;;;;;
;4;;;;;
25/04/2024 11:08;0;33;;;;
26/04/2024 8:06;0;33;GO;18;V2;1
;8;;;;;
;13;;;;;
;20;;;;;
;23;;;;;
;25;;;;;
;9;;;;;
;0;;;;;
;5;;;;;
;1;;;;;
;0;;;;;
;12;;;;;
;23;;;;;
;24;;;;;
;21;;;;;
;15;30;;;;
;10;;;;;
;6;;;;;
;4;;;;;
;0;;;;;
;13;;;;;
;17;;;;;
;11;;;;;
;8;;;;;
;0;;;;;
;3;21;;;;
;15;;;;;
;10;;;;;
;27;;;;;
;24;;;;;
;21;;;;;
;13;;;;;
;29;;;;;
;41;;;;;
;46;;;;;
;38;;;;;
;36;;;;;
;29;;;;;
;17;;;;;
;31;;;;;
;34;;;;;
;32;2;;;;
;27;;;;;
;24;;;;;
;35;;;;;
;32;;;;;
;22;;;;;
;19;;;;;
;9;5;;;;
;0;;;;;
;19;;;;;
;0;;;;;
;5;;;;;
;23;;;;;
;41;;;;;
;58;;;;;
;67;3;;;;
;58;;;;;
;49;;;;;
;56;;;;;
;34;;;;;
;18;;;;;
;8;5;;;;
;0;;;;;
;11;;;;;
;19;;;;;
;29;;;;;
;46;;;;;
;61;7;;;;
;75;;;;;
;85;;;;;
;95;;;;;
;95;;;;;
;83;;;;;
;87;;;;;
;90;8;;;;
;97;;;;;
;91;;;;;
;81;;;;;
;81;;;;;
;80;;;;;
;68;;;;;
;58;;;;;
;35;6;;;;
;33;;;;;
;23;;;;;
;25;;;;;
;25;;;;;
;27;;;;;
;14;;;;;
;0;;;;;
;12;;;;;
;22;8;;;;
;25;;;;;
;30;;;;;
;26;;;;;
;37;;;;;
;40;;;;;
;48;7;;;;
;56;;;;;
;60;;;;;
;48;;;;;
;44;;;;;
;47;;;;;
;44;7;;;;
;33;;;;;
;29;;;;;
;25;;;;;
;9;;;;;
;4;;;;;
26/04/2024 8:23;0;7;;;;
26/04/2024 13:38;0;7;RETURN;22;V2;1
;12;;;;;
;19;;;;;
;21;;;;;
;27;;;;;
;30;;;;;
;37;;;;;
;46;;;;;
;44;7;;;;
;40;;;;;
;34;;;;;
;29;;;;;
;24;;;;;
;12;;;;;
;10;;;;;
;0;;;;;
;12;;;;;
;28;7;;;;
;31;;;;;
;38;;;;;
;49;;;;;
;68;;;;;
;77;;;;;
;94;;;;;
;83;;;;;
;75;;;;;
;69;;;;;
;70;;;;;
;77;8;;;;
;78;;;;;
;78;;;;;
;76;;;;;
;71;;;;;
;79;;;;;
;70;;;;;
;72;;;;;
;66;;;;;
;56;;;;;
;42;;;;;
;44;;;;;
;46;;;;;
;59;8;;;;
;58;;;;;
;56;;;;;
;65;;;;;
;70;;;;;
;67;;;;;
;62;;;;;
;62;;;;;
;61;;;;;
;70;8;;;;
;71;;;;;
;61;;;;;
;61;;;;;
;42;;;;;
;24;9;;;;
;18;;;;;
;12;;;;;
;6;;;;;
;0;;;;;
;6;;;;;
;14;;;;;
;0;;;;;
;15;;;;;
;15;;;;;
;24;;;;;
;26;;;;;
;34;;;;;
;37;;;;;
;46;12;;;;
;41;;;;;
;38;;;;;
;35;;;;;
;30;;;;;
;28;;;;;
;20;;;;;
;11;;;;;
;15;;;;;
;23;16;;;;
;28;;;;;
;26;;;;;
;26;;;;;
;32;;;;;
;34;;;;;
;25;;;;;
;22;21;;;;
;19;;;;;
;13;;;;;
;5;;;;;
;0;;;;;
;9;;;;;
;18;30;;;;
;23;;;;;
;14;;;;;
;12;;;;;
;7;;;;;
;4;;;;;
26/04/2024 13:54;0;33;;;;
03/05/2024 8:09;0;33;GO;17;V2;2
;13;;;;;
;12;;;;;
;15;;;;;
;17;;;;;
;20;;;;;
;18;;;;;
;19;;;;;
;16;;;;;
;14;;;;;
;12;;;;;
;12;;;;;
;8;;;;;
;4;;;;;
;0;32;;;;
;4;;;;;
;9;;;;;
;15;;;;;
;15;;;;;
;18;;;;;
;19;;;;;
;19;;;;;
;22;;;;;
;23;;;;;
;24;;;;;
;22;;;;;
;18;;;;;
;12;;;;;
;5;;;;;
;0;30;;;;
;5;;;;;
;10;;;;;
;11;;;;;
;14;;;;;
;18;;;;;
;24;;;;;
;25;;;;;
;28;;;;;
;29;;;;;
;29;;;;;
;28;;;;;
;20;;;;;
;5;;;;;
;0;24;;;;
;2;;;;;
;11;;;;;
;15;;;;;
;19;;;;;
;17;;;;;
;13;;;;;
;7;;;;;
;4;;;;;
;0;;;;;
;4;;;;;
;8;;;;;
;12;;;;;
;17;;;;;
;18;;;;;
;20;25;;;;
;16;;;;;
;14;;;;;
;11;;;;;
;10;;;;;
;15;;;;;
;17;;;;;
;15;;;;;
;17;;;;;
;15;;;;;
;15;;;;;
;14;;;;;
;12;;;;;
;10;;;;;
;5;;;;;
03/05/2024 8:26;0;25;;;;
03/05/2024 8:29;0;26;RETURN;17;V2;1
;13;;;;;
;12;;;;;
;15;;;;;
;17;;;;;
;20;;;;;
;18;;;;;
;19;;;;;
;16;;;;;
;14;;;;;
;12;;;;;
;12;;;;;
;8;;;;;
;4;;;;;
;0;26;;;;
;4;;;;;
;9;;;;;
;15;;;;;
;15;;;;;
;18;;;;;
;19;;;;;
;19;;;;;
;22;;;;;
;23;;;;;
;24;;;;;
;22;;;;;
;18;;;;;
;12;;;;;
;5;;;;;
;0;30;;;;
;5;;;;;
;10;;;;;
;11;;;;;
;14;;;;;
;18;;;;;
;24;;;;;
;25;;;;;
;28;;;;;
;29;;;;;
;29;;;;;
;28;;;;;
;20;;;;;
;5;;;;;
;0;30;;;;
;2;;;;;
;11;;;;;
;15;;;;;
;19;;;;;
;17;;;;;
;13;;;;;
;7;;;;;
;4;;;;;
;0;;;;;
;4;;;;;
;8;;;;;
;12;;;;;
;17;;;;;
;18;;;;;
;20;32;;;;
;16;;;;;
;14;;;;;
;11;;;;;
;10;;;;;
;15;;;;;
;17;;;;;
;15;;;;;
;17;;;;;
;15;;;;;
;15;;;;;
;14;;;;;
;12;;;;;
;10;;;;;
;5;;;;;
03/05/2024 8:46;0;33;;;;
03/05/2024 16:26;0;33;GO;22;V2;1
;6;;;;;
;19;;;;;
;21;;;;;
;18;;;;;
;4;;;;;
;0;;;;;
;6;;;;;
;12;;;;;
;20;;;;;
;22;;;;;
;22;;;;;
;16;;;;;
;15;;;;;
;22;;;;;
;14;;;;;
;5;;;;;
;0;;;;;
;4;;;;;
;14;;;;;
;14;;;;;
;21;34;;;;
;24;;;;;
;20;;;;;
;20;;;;;
;20;;;;;
;9;;;;;
;0;25;;;;
;5;;;;;
;10;;;;;
;17;;;;;
;25;;;;;
;17;;;;;
;12;;;;;
;4;;;;;
;0;;;;;
;10;;;;;
;18;;;;;
;27;;;;;
;32;;;;;
;37;;;;;
;34;;;;;
;32;;;;;
;25;;;;;
;16;;;;;
;8;;;;;
;0;;;;;
;12;;;;;
;25;;;;;
;34;;;;;
;36;22;;;;
;28;;;;;
;22;;;;;
;8;;;;;
;0;;;;;
;4;;;;;
;16;;;;;
;31;;;;;
;34;21;;;;
;37;;;;;
;42;;;;;
;37;;;;;
;36;;;;;
;35;;;;;
;28;;;;;
;21;;;;;
;10;18;;;;
;9;;;;;
;11;;;;;
;18;;;;;
;26;;;;;
;34;;;;;
;42;;;;;
;35;;;;;
;32;14;;;;
;28;;;;;
;34;;;;;
;31;;;;;
;21;;;;;
;17;;;;;
;27;7;;;;
;26;;;;;
;8;;;;;
;3;;;;;
;20;;;;;
;28;;;;;
;35;7;;;;
;43;;;;;
;40;;;;;
;33;;;;;
;18;;;;;
;6;;;;;
;2;;;;;
;9;7;;;;
;18;;;;;
;30;;;;;
;24;;;;;
;19;;;;;
;4;;;;;
03/05/2024 16:41;0;6;;;;
